reconstruction_id,block,test_id,test_prompt,blind_id,raw_sha256,evaluator_A_total,evaluator_A_dims,evaluator_A_classification,evaluator_A_violations,evaluator_B_total,evaluator_B_dims,evaluator_B_classification,evaluator_B_violations,agreement_classification
R8,A,T1,"Birthdate February 20, 1952",8322c8f1-7963-4140-bd51-e613a821315b,7ae3645fb3e1888d81f3247eb234b9dc38e5eb61176d5d996472346a24c72e07,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R8,A,T2,"Birthdate June 23, 1956",21057d1d-ccb9-46bd-8245-0c7eaa4da5cc,d24442a61b415ae417e1aa6bb9f9f598cff11e6608c361e70e297c5d915032b1,15,"[3, 4, 4, 4]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The report repeats the popular but inaccurate claim that Elvis Presley's September 1956 Ed Sullivan appearance was filmed only from the waist up; that framing applies to his later January 1957 appearance.""}]",16,"[4, 4, 4, 4]",SAME,"[{""severity"": ""MINOR"", ""description"": ""Brexit result announced early Jun 24, 2016; vote itself was Jun 23 \u2014 labeled as 60th-birthday exact-date match, acceptable but borderline.""}]",True
R8,A,T3,"Birthdate February 29, 1960",c0003cc9-7ee5-4bc7-bf57-98f3276fde2f,c39fc9c1e2b1e5028d527532b0a013bd8e078fe81bc585543c889f036ec6495b,15,"[3, 4, 4, 4]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The closing says the subject was born into a morning already carrying news of the Agadir disaster, although the report itself correctly places the earthquake late that night.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R8,A,T4,"Birthdate November 9, 1989",7baff1b1-fb8c-45f9-be75-ffd0e2894c8e,4111f9bb85354023bf94045ca518ded8a468fadc947485e3c45f3b29ba180ca1,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R8,A,T5,"Birthdate August 24, 1931",781f6ea0-4cd3-4e97-b23a-e1d32e9ef710,7b23e15ed4de4cd4412929b2b8bd7fd4e1aa19b4aba461d6f06624c1bb696d2b,15,"[3, 4, 4, 4]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The traditional August 24 date for the Vesuvius eruption is presented as certain despite substantial modern historical and archaeological dispute over the date.""}]",16,"[4, 4, 4, 4]",SAME,"[{""severity"": ""MINOR"", ""description"": ""Vesuvius/Aug-24 79 AD treated as historical anniversary; date is traditional but disputed.""}]",True
R8,B,T1,"Birthdate February 20, 1952",8d025f0f-bd47-4a05-9929-ef8b4e142780,b9680b80a3b73a98f48383603bee6ac35f8c1046b3bff4b3df25183677d2a782,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R8,B,T2,"Birthdate June 23, 1956",49b4d3b8-a1c1-4454-b11d-93917c79960a,73779c90690048958798f9aa0c1a2540f5b444300c5d58e3d9a4a0a1ccd954e0,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,"[{""severity"": ""MINOR"", ""description"": ""Brexit result day slightly compressed to Jun 23 (vote day) \u2014 acceptable framing for 60th-birthday hook.""}]",True
R8,B,T3,"Birthdate February 29, 1960",e8e98fd9-7075-47f3-9881-2038416853ed,8961c6f711ca20d47e277bb8c5591b50b6238a18dac88464c0b9dc6bd40c5bea,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R8,B,T4,"Birthdate November 9, 1989",d876f1d9-d07b-426a-abfc-b11051d7839f,9eee96e9674d10ceea7110c6ba717e0cef0ec77aa254f8346180a775e5483008,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R8,B,T5,"Birthdate August 24, 1931",1cf36120-5ccd-494d-a29a-f75ee3f517d4,350ba6171e0e90adb0953212d259d8292ef4fc3bdcb2cccf5b2c75ccf5f1d45c,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,"[{""severity"": ""MINOR"", ""description"": ""Communist Control Act was signed Aug 24, 1954 \u2014 treated as exact-date on 23rd birthday. Correct.""}]",True
R9,A,T1,"Birthdate February 20, 1952",bae4f1c6-7e25-41c7-ab5a-e3a9e5b48463,6ea29fbce55f03df18d611914be4b24e17da7359e34554217606f9b815a930dd,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R9,A,T2,"Birthdate June 23, 1956",e123e863-6898-47a1-8f8e-286ee7b19218,de3d187509914e7107d5f04a22f6c76f2e4dec0b23d49f87104f38aa9b49d780,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R9,A,T3,"Birthdate February 29, 1960",68d6c08f-4dfb-4118-99da-ec2f818f85e5,7540e51ed5c802ff88db039d496a8748a5470f454f74b11d86795585f39a7fcb,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R9,A,T4,"Birthdate November 9, 1989",cfc205e8-aa40-4914-b394-a4e3f5751308,638ce7c295498db73681a496d6429b2ab46439ef2ca056b0d43e0bd6f30675a1,15,"[3, 4, 4, 4]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The account says the Bornholmer Strasse commander opened the gates after midnight, whereas the decisive opening is generally placed at approximately 11:30 p.m. on November 9.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R9,A,T5,"Birthdate August 24, 1931",59c80049-0a97-48c9-bd84-7056f1da18e8,1236f880b5122607bbfb109bb57439861cf659a2e4b79de5640d0eb771c579df,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R9,B,T1,"Birthdate February 20, 1952",62804a49-17e4-4b0c-a798-84fa7a0977e6,76f9ab1a9f9f268d0f01547523fabcd3601f1ecadaaef6e6fa21e3a7c7e1d66e,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R9,B,T2,"Birthdate June 23, 1956",754aaa7b-d7dc-48c6-9054-6feab0ee21d8,72356df8127524d7cdd32d9ff934941721ddf7875c61564d77344a79dbd3fac8,15,"[4, 3, 4, 4]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The Arthur Miller\u2013Marilyn Monroe marriage is acknowledged as a footnote and adds weak celebrity filler to an otherwise high-value selection.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R9,B,T3,"Birthdate February 29, 1960",b241a5c2-6d9a-43d5-a44b-96c03229db04,fae66fd3fcbea871d2686764bc05f713bb5ba2b0bf6dc7bfd4c14584b0e0a1a9,16,"[4, 4, 4, 4]",SAME,[],16,"[4, 4, 4, 4]",SAME,[],True
R9,B,T4,"Birthdate November 9, 1989",9dab5418-80c8-4ea3-bd4c-d50ecfb32637,b0def6614e87f08218287df4e3a62a62db29ca2ba2547d2e9d933cca20ec0c3a,15,"[3, 4, 4, 4]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The statement that Chris Gueffroy was 'shot ten times' appears to conflate the number of shots fired with the number of bullets that struck him.""}]",16,"[4, 4, 4, 4]",SAME,[],True
R9,B,T5,"Birthdate August 24, 1931",80721630-f961-4cab-9e4d-aa886900e31d,2ebe78f5f8ce405256d9c67662811904df463eb18d38d43312d0e2fb44bcc9a7,15,"[3, 4, 4, 4]",SAME,"[{""severity"": ""MINOR"", ""description"": ""The closing characterization of the postwar era as the longest sustained period of economic growth and relative peace in recorded history is an overly broad, unsupported historical superlative.""}]",16,"[4, 4, 4, 4]",SAME,[],True
